id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jenis_pekerjaan,jumlah_penduduk,satuan,semester,tahun
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,COBLONG,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,PELAJAR DAN MAHASISWA,2305,ORANG,1,2017
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,COBLONG,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,TENAGA KESEHATAN,44,ORANG,1,2017
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,COBLONG,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,PENSIUNAN,247,ORANG,1,2017
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,COBLONG,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,LAINNYA,2130,ORANG,1,2017
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,BELUM BEKERJA,5561,ORANG,1,2017
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,APARATUR PEJABAT NEGARA,1122,ORANG,1,2017
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,TENAGA PENGAJAR,305,ORANG,1,2017
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,WIRASWASTA,10382,ORANG,1,2017
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,PERTANIAN DAN PETERNAKAN,7,ORANG,1,2017
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,NELAYAN,0,ORANG,1,2017
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,AGAMA DAN KEPERCAYAAN,2,ORANG,1,2017
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,PELAJAR DAN MAHASISWA,7286,ORANG,1,2017
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,TENAGA KESEHATAN,89,ORANG,1,2017
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,PENSIUNAN,637,ORANG,1,2017
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,COBLONG,32.73.02,COBLONG,32.73.02.1004,DAGO,LAINNYA,6954,ORANG,1,2017
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,BELUM BEKERJA,1855,ORANG,1,2017
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,APARATUR PEJABAT NEGARA,333,ORANG,1,2017
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,TENAGA PENGAJAR,49,ORANG,1,2017
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,WIRASWASTA,4045,ORANG,1,2017
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,PERTANIAN DAN PETERNAKAN,0,ORANG,1,2017
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,NELAYAN,0,ORANG,1,2017
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,AGAMA DAN KEPERCAYAAN,1,ORANG,1,2017
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,PELAJAR DAN MAHASISWA,2596,ORANG,1,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,TENAGA KESEHATAN,29,ORANG,1,2017
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,PENSIUNAN,170,ORANG,1,2017
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,COBLONG,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,LAINNYA,2528,ORANG,1,2017
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,BELUM BEKERJA,4579,ORANG,1,2017
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,APARATUR PEJABAT NEGARA,896,ORANG,1,2017
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,TENAGA PENGAJAR,219,ORANG,1,2017
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,WIRASWASTA,8622,ORANG,1,2017
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,PERTANIAN DAN PETERNAKAN,5,ORANG,1,2017
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,NELAYAN,0,ORANG,1,2017
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,AGAMA DAN KEPERCAYAAN,2,ORANG,1,2017
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,PELAJAR DAN MAHASISWA,5746,ORANG,1,2017
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,TENAGA KESEHATAN,77,ORANG,1,2017
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,PENSIUNAN,639,ORANG,1,2017
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,COBLONG,32.73.02,COBLONG,32.73.02.1005,SEKELOA,LAINNYA,5471,ORANG,1,2017
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,BELUM BEKERJA,639,ORANG,1,2017
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,APARATUR PEJABAT NEGARA,102,ORANG,1,2017
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,TENAGA PENGAJAR,26,ORANG,1,2017
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,WIRASWASTA,1317,ORANG,1,2017
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,PERTANIAN DAN PETERNAKAN,3,ORANG,1,2017
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,NELAYAN,0,ORANG,1,2017
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,AGAMA DAN KEPERCAYAAN,3,ORANG,1,2017
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,PELAJAR DAN MAHASISWA,835,ORANG,1,2017
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,TENAGA KESEHATAN,9,ORANG,1,2017
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,PENSIUNAN,68,ORANG,1,2017
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,COBLONG,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,LAINNYA,889,ORANG,1,2017
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,BELUM BEKERJA,4388,ORANG,1,2017
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,APARATUR PEJABAT NEGARA,1002,ORANG,1,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,TENAGA PENGAJAR,180,ORANG,1,2017
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,WIRASWASTA,8693,ORANG,1,2017
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,PERTANIAN DAN PETERNAKAN,1,ORANG,1,2017
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,NELAYAN,1,ORANG,1,2017
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,AGAMA DAN KEPERCAYAAN,1,ORANG,1,2017
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,PELAJAR DAN MAHASISWA,5849,ORANG,1,2017
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,TENAGA KESEHATAN,40,ORANG,1,2017
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,PENSIUNAN,622,ORANG,1,2017
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,COBLONG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,LAINNYA,5214,ORANG,1,2017
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,BELUM BEKERJA,3650,ORANG,1,2017
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,APARATUR PEJABAT NEGARA,562,ORANG,1,2017
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,TENAGA PENGAJAR,133,ORANG,1,2017
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,WIRASWASTA,6971,ORANG,1,2017
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,PERTANIAN DAN PETERNAKAN,10,ORANG,1,2017
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,NELAYAN,0,ORANG,1,2017
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,AGAMA DAN KEPERCAYAAN,5,ORANG,1,2017
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,3273020003,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,32.73.03.1004,MARGAHAYU UTARA,PELAJAR DAN MAHASISWA,4333,ORANG,1,2017
