jenis_pekerjaan,tahun,median,p10,p90,mean,std
PENGACARA,2033,0.0,0.0,0.0,0.0,0.0
PENGACARA,2034,0.0,0.0,0.0,0.0,0.0
PENGACARA,2035,0.0,0.0,0.0,0.0,0.0
PENSIUNAN,2026,33596.454776816565,25755.60160758963,41481.82256664357,33580.55080271543,6172.445997913151
PENSIUNAN,2027,30277.588675433075,20866.97379845155,41477.9265104835,30864.06217297192,8053.494561451087
PENSIUNAN,2028,27632.98692837627,17526.89227910884,40416.959961189496,28552.282013944037,9169.814523631854
PENSIUNAN,2029,24979.19480947132,14936.752613292558,39419.65129177644,26216.806404630377,9934.884298174697
PENSIUNAN,2030,22401.845631006167,12216.071989414184,37558.42423898344,24021.828603192338,10342.49879456922
PENSIUNAN,2031,20248.197788167025,10580.198480844281,35543.17189557134,22157.14772836067,10542.239310897141
PENSIUNAN,2032,18584.370912633152,9132.878460141881,34273.21388449488,20394.077516717018,10571.906939735802
PENSIUNAN,2033,16883.303167018974,7928.770864713896,32214.73964927362,18805.89764634762,10645.54846292246
PENSIUNAN,2034,15100.151481149405,6811.90233562249,29839.094317445575,17296.034378691555,10250.623226553804
PENSIUNAN,2035,13582.578726423742,5801.0426642690545,28286.617508927728,15816.984439428366,10007.941630732703
PERAWAT,2026,0.0,0.0,0.0,0.0,0.0
PERAWAT,2027,0.0,0.0,0.0,0.0,0.0
PERAWAT,2028,0.0,0.0,0.0,0.0,0.0
PERAWAT,2029,0.0,0.0,0.0,0.0,0.0
PERAWAT,2030,0.0,0.0,0.0,0.0,0.0
PERAWAT,2031,0.0,0.0,0.0,0.0,0.0
PERAWAT,2032,0.0,0.0,0.0,0.0,0.0
PERAWAT,2033,0.0,0.0,0.0,0.0,0.0
PERAWAT,2034,0.0,0.0,0.0,0.0,0.0
PERAWAT,2035,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2026,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2027,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2028,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2029,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2030,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2031,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2032,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2033,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2034,0.0,0.0,0.0,0.0,0.0
PERDAGANGAN,2035,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2026,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2027,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2028,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2029,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2030,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2031,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2032,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2033,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2034,0.0,0.0,0.0,0.0,0.0
PERTANIAN DAN PETERNAKAN,2035,0.0,0.0,0.0,0.0,0.0
PERTANIAN/PETERNAKAN,2026,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2027,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2028,1311.0,1311.0,1311.0,1311.0,0.0
